Topic,"STORM
Relevance","STORM
Conciseness","STORM
Balancedness","GPT 
Relevance","GPT
Conciseness","GPT
Balancedness","STORMReport
Relevance","STORMReport 
Conciseness","STORMReport
Balancedness",STORM,GPT,STORMReport
SpaceX Starship Catch,4,2,4,5,5,5,5,5,5,5,3,4.5
Amazon,5,5,5,5,5,5,5,5,5,4,2,5
Manchester United,5,3,5,5,4,5,5,5,5,3,1,5
New Jeans,3,3,4,5,5,5,5,4,5,5,2,4.5
Cryptocurrency,5,4,5,5,5,5,5,5,5,4,3,5
Michael Jordan,5,5,5,5,5,5,5,5,5,4,2,4
Tom Brady,3,3,3,5,5,5,5,5,5,5,1,4
China,3,3,4,5,5,5,5,5,5,5,2,5
Chipotle,1,1,1,5,4,5,5,5,5,4,2,4
Inter Miami FC,5,3,5,5,4,5,5,5,5,5,1,5
The Moon,5,3,5,5,4,5,5,5,5,5,1,5
Justin Bieber,3,3,4,5,4,4,4,4,4,4,1,4
Tory Lanez,5,4,5,5,4,5,5,5,5,5,3,4.5
Mercedes Benz,5,3,5,5,4,5,5,5,5,4,2,5
Louis Vuitton,5,4,5,5,4,5,5,5,5,5,2,5
Costco,5,4,5,5,5,5,4,4,5,5,2,4.5
Apple Vision,5,5,5,5,5,5,5,5,5,4,2,5
Bruno Mars,5,3,5,5,5,5,4,4,4,4,1,4.5
Fender Electric Guitar,5,5,5,5,4,5,3,5,4,4,2,5
FIFA,5,3,5,5,4,5,5,5,5,5,2,5
Hershey's Chocolate,5,4,5,5,3,5,5,5,5,4,1,4
Coldplay,5,3,5,5,5,5,5,5,5,5,1,3
NBA,3,1,3,5,5,5,5,5,3,4,2,4
Prompt,,,,,,,,,,4.434782609,1.782608696,4.543478261
